1	ANTONIO	uiysda	1298312
2	ARTHUR	cantor	10928731
3	ARTHUR	cantor	10928731
4	ARTHUR	cantor	10928731
5	ARTHUR	cantor	10928731
6	ARTHUR	cantor	10928731
7	ARTHUR	cantor	10928731
8	ARTHUR	cantor	10928731
9	ARTHUR	cantor	10928731
10	ARTHUR	cantor	10928731
11	ARTHUR	cantor	10928731
12	ARTHUR	cantor	10928731
13	ARTHUR	cantor	10928731
14	ARTHUR	cantor	10928731
15	ARTHUR	cantor	10928731
16	ARTHUR	cantor	10928731
17	ARTHUR	cantor	10928731
18	ARTHUR	cantor	10928731
19	ARTHUR	cantor	10928731
20	ARTHUR	cantor	10928731
21	ARTHUR	cantor	10928731
22	ARTHUR	cantor	10928731
23	ARTHUR	cantor	10928731
24	ARTHUR	cantor	10928731
25	ARTHUR	cantor	10928731
26	ARTHUR	cantor	10928731
27	ARTHUR	cantor	10928731
28	ARTHUR	cantor	10928731
29	ARTHUR	cantor	10928731
30	ARTHUR	cantor	10928731
31	ARTHUR	cantor	10928731
32	ARTHUR	cantor	10928731
33	ARTHUR	cantor	10928731
34	ARTHUR	cantor	10928731
35	ARTHUR	cantor	10928731
36	ARTHUR	cantor	10928731
37	ARTHUR	cantor	10928731
38	ARTHUR	cantor	10928731
39	ARTHUR	cantor	10928731
40	ARTHUR	cantor	10928731
41	ARTHUR	cantor	10928731
42	ARTHUR	cantor	10928731
43	ARTHUR	cantor	10928731
44	ARTHUR	cantor	10928731
45	ARTHUR	cantor	10928731
46	ARTHUR	cantor	10928731
47	ARTHUR	cantor	10928731
48	ARTHUR	cantor	10928731
49	ARTHUR	cantor	10928731
50	ARTHUR	cantor	10928731
51	ARTHUR	cantor	10928731
52	ARTHUR	cantor	10928731
53	ARTHUR	cantor	10928731
54	ARTHUR	cantor	10928731
55	ARTHUR	cantor	10928731
56	ARTHUR	cantor	10928731
57	ARTHUR	cantor	10928731
58	ARTHUR	cantor	10928731
59	ARTHUR	cantor	10928731
60	ARTHUR	cantor	10928731
61	ARTHUR	cantor	10928731
62	ARTHUR	cantor	10928731
63	ARTHUR	cantor	10928731
64	ARTHUR	cantor	10928731
65	ARTHUR	cantor	10928731
66	ARTHUR	cantor	10928731
67	ARTHUR	cantor	10928731
68	ARTHUR	cantor	10928731
