2000			
ID	NOME	CARGO	CPF
1	Maria	 Médico	00500503013
2	Giuseppe	 Professor	33937268998
3	Anna	 Engenheiro	35300202757
4	Giovanni	 Advogado	66970642236
5	Antonio	 Enfermeiro	31912693005
6	Francesco	 Contador	00139728661
7	Andrea	 Programador	65297583548
8	Luigi	 Designer	68524497613
9	Mario	 Policial	25043892348
10	Rosa	 Bombeiro	05988131247
11	Salvatore	 Dentista	46144263604
12	Angela	 Psicólogo	19865135841
13	Vincenzo	 Arquiteto	53849701520
14	Roberto	 Eletricista	06351468149
15	Paolo	 Jornalista	05514333440
16	Giovanna	 Escritor	20506662389
17	Giuseppina	 Chef de cozinha	07468685872
18	Marco	 Ator	04007183697
19	Angelo	 Cantor	85976690749
20	Francesca	 Agricultor	29110318543
21	Domenico	 Fotógrafo	71858844359
22	Paola	 Fisioterapeuta	29202305123
23	Pietro	 Nutricionista	03451583397
24	Michele	 Economista	30321980321
25	Lucia	 Astrônomo	20579297282
26	Franco	 Biólogo	19492640327
27	Alessandro	 Químico	28139350702
28	Carlo	 Geólogo	15696881286
29	Stefano	 Tradutor	42330006649
30	Laura	 Motorista	17859530452
31	Carmela	 Pedreiro	43897865871
32	Teresa	 Pintor	06480221076
33	Massimo	 Mecânico	74798873428
34	Daniela	 Vendedor	09819597643
35	Nicola	 Terapeuta	73915305973
36	Giorgio	 Psiquiatra	70500802454
37	Bruno	 Consultor	51588678092
38	Rita	 Veterinário	60879926246
39	Maurizio	 Geógrafo	66643802346
40	Caterina	 Cientista	88678300592
41	Elena	 Cozinheiro	34971851814
42	Luciano	 Padeiro	87925569356
43	Alberto	 Barbeiro	15860211896
44	Patrizia	 Cabeleireiro	60250422806
45	Luca	 Escultor	21130829087
46	Antonietta	 Dançarino	50605889569
47	Pasquale	 Economista	93242317007
48	Carla	 Estilista	26756753719
49	Mauro	 Esteticista	44321477291
50	Sergio	 Florista	77043338123
51	Fabio	 Fonoaudiólogo	99819799661
52	Antonella	 Garçom	94612321176
53	Claudio	 Historiador	43734417847
54	Giuseppa	 Hoteleiro	89161466086
55	Enrico	 Ilustrador	70627676322
56	Concetta	 Joalheiro	34117377970
57	Franca	 Juiz	40307833358
58	Antonino	 Lavador de carros	30905695026
59	Antonia	 Marceneiro	70405692930
60	Raffaele	 Maquiador	85348991936
61	Giancarlo	 Mecânico	18907707016
62	Silvana	 Metalúrgico	11964161791
63	Alessandra	 Nutricionista	94964840759
64	Cristina	 Oceanógrafo	90366926362
65	Stefania	 Ortopedista	00133591626
66	Gabriella	 Paleontólogo	76577647168
67	Simone	 Pescador	25150194313
68	Daniele	 Piloto	28542409382
69	Roberta	 Porteiro	64096199125
70	Vittorio	 Psicoterapeuta	56756986245
71	Aldo	 Quiroprático	27044015789
72	Lorenzo	 Repórter	24954394433
73	Renato	 Salva-vidas	00168442114
74	Mária	 Sapateiro	31659658764
75	Barbara	 Soldador	44790827433
76	Monica	 Taxista	00439884810
77	Gaetano	 Técnico em informática	93360188255
78	António	 Técnico em radiologia	19310753965
79	Grazia	 Técnico em enfermagem	89529500691
80	Luisa	 Técnico em eletrônica	20670348493
81	Elisabetta	 Técnico em mecânica	32465769136
82	Margherita	 Técnico em segurança do trabalho	43146606427
83	Fabrizio	 Técnico em telecomunicações	22765085780
84	Davide	 Técnico em turismo	89666119678
85	Gianfranco	 Terapeuta ocupacional	86253424638
86	Luciana	 Tesoureiro	65646496498
87	Filomena	 Topógrafo	51070572148
88	Marisa	 Tradutor	92993354933
89	Vito	 Urologista	79407968395
90	Riccardo	 Urologista	73447985328
91	Matteo	 Vendedor	44853421011
92	Silvia	 Vidraceiro	07160014178
93	Vincenza	 Vigia	52377263287
94	Rosaria	 Web designer	93772695571
95	Rosanna	 Xilógrafo	03421650986
96	Chiara	 Yogaterapeuta	09454738221
97	Giuliana	 Zelador	31584263907
98	Marina	 Zoólogo	02198739491
99	Bruna	Fazendeiro	48593289204
100	Giacomo	Cartunista	54469721912
101	Filippo	 Médico	98038853887
102	Gianni	 Professor	88030581996
103	Gabriele	 Engenheiro	28648262870
104	Guido	 Advogado	26981504890
105	Elisa	 Enfermeiro	71845265879
106	Adriana	 Contador	08143623746
107	Giulia	 Programador	92922448924
108	Graziella	 Designer	04600884638
109	Umberto	 Policial	77771116916
110	Domenica	 Bombeiro	18393654776
111	Tiziana	 Dentista	68902465474
112	Carmine	 Psicólogo	40180238548
113	Marcello	 Arquiteto	07448085851
114	Assunta	 Eletricista	44606413400
115	Simona	 Jornalista	77895090004
116	Luigia	 Escritor	63827697716
117	Enzo	 Chef de cozinha	72018469598
118	Carmelo	 Ator	65324779191
119	Valentina	 Cantor	35551516243
120	Rocco	 Agricultor	40712773468
121	Leonardo	 Fotógrafo	26658804626
122	Annamaria	 Fisioterapeuta	96596988911
123	Giuliano	 Nutricionista	60057101178
124	Gino	 Economista	36099906138
125	Cinzia	 Astrônomo	82258218878
126	Piero	 Biólogo	31938691465
127	Dario	 Químico	36325660451
128	Alfredo	 Geólogo	34601951617
129	Gianluca	 Tradutor	28174097481
130	Claudia	 Motorista	30033379996
131	Giulio	 Pedreiro	47252939803
132	Renzo	 Pintor	30431640326
133	Emanuela	 Mecânico	39291462716
134	Michela	 Vendedor	22822826886
135	Adriano	 Terapeuta	75706843831
136	Sara	 Psiquiatra	49701009996
137	Massimiliano	 Consultor	44410771760
138	Rosario	 Veterinário	10976936129
139	Silvano	 Geógrafo	01139700422
140	Federico	 Cientista	46510488305
141	Gian	 Cozinheiro	73794595882
142	Nadia	 Padeiro	72720747945
143	Gennaro	 Barbeiro	18446910798
144	Liliana	 Cabeleireiro	55000181893
145	Cosimo	 Escultor	15346640014
146	Loredana	 Dançarino	04375559955
147	Armando	 Economista	75810284857
148	Emanuele	 Estilista	76130445152
149	Cesare	 Esteticista	87668322222
150	Federica	 Florista	09273777463
151	Tommaso	 Fonoaudiólogo	59794912339
152	Raffaella	 Garçom	89739590287
153	Ida	 Historiador	92675330265
154	Manuela	 Hoteleiro	37567708875
155	Mirella	 Ilustrador	13288867213
156	Emilio	 Joalheiro	72283051834
157	Donato	 Juiz	67978151099
158	Sebastiano	 Lavador de carros	30437660532
159	Lidia	 Marceneiro	35298800569
160	Maddalena	 Maquiador	96079675584
161	Cláudio	 Mecânico	86209649822
162	Lina	 Metalúrgico	35895562308
163	Ciro	 Nutricionista	33436311892
164	Alfonso	 Oceanógrafo	54157222062
165	Sílvia	 Ortopedista	75440954768
166	Sandro	 Paleontólogo	34819533966
167	Sabrina	 Pescador	59506908426
168	Donatella	 Piloto	25641782953
169	Walter	 Porteiro	34497921770
170	Emilia	 Psicoterapeuta	90335982427
171	Antonina	 Quiroprático	52858706614
172	Sonia	 Repórter	50508703514
173	Vittoria	 Salva-vidas	31694957341
174	Annunziata	 Sapateiro	57922220776
175	Elio	 Soldador	41005875263
176	Dino	 Taxista	93163159046
177	Agostino	 Técnico em informática	84206199118
178	Pier	 Técnico em radiologia	55545337165
179	Danilo	 Técnico em enfermagem	78175091045
180	Angelina	 Técnico em eletrônica	67800314758
181	Sandra	 Técnico em mecânica	16787403131
182	Nicoletta	 Técnico em segurança do trabalho	52408078757
183	Marta	 Técnico em telecomunicações	59194785745
184	Felice	 Técnico em turismo	09291731382
185	Eleonora	 Terapeuta ocupacional	19726681139
186	Fernando	 Tesoureiro	19970134916
187	Isabella	 Topógrafo	89499889976
188	Renata	 Tradutor	68181037139
189	Ugo	 Urologista	51142642403
190	Corrado	 Urologista	35778747778
191	Ernesto	 Vendedor	03148922152
192	Pierina	 Vidraceiro	97407403899
193	Clara	 Vigia	91116820002
194	Rosalia	 Web designer	98431905242
195	Lino	 Xilógrafo	49175224970
196	Ivana	 Yogaterapeuta	55949525495
197	Gerardo	 Zelador	37729923468
198	Marianna	 Zoólogo	75661742357
199	Ornella	Fazendeiro	45853334652
200	Alessio	 Médico	89049338084
201	Silvio	 Professor	65773695672
202	Fausto	 Engenheiro	31099004514
203	Adele	 Advogado	47908272838
204	Flavio	 Enfermeiro	14576324175
205	Rosina	 Contador	03579978824
206	Iolanda	 Programador	19591576794
207	Carolina	 Designer	71054523227
208	Romano	 Policial	47750966184
209	Ferdinando	 Bombeiro	20344502098
210	Eugenio	 Dentista	71435581801
211	Enrica	 Psicólogo	40407902520
212	Marcella	 Arquiteto	96808268358
213	Diego	 Eletricista	30981504208
214	Immacolata	 Jornalista	66381783820
215	Annalisa	 Escritor	37669338020
216	Irene	 Chef de cozinha	53487671063
217	Gina	 Ator	07932399812
218	Attilio	 Cantor	25427279450
219	Valeria	 Agricultor	10676627550
220	Mara	 Fotógrafo	44235085524
221	Marino	 Fisioterapeuta	60042565893
222	Agnese	 Nutricionista	72549406566
223	Elvira	 Economista	22964709463
224	Sérgio	 Astrônomo	20839050683
225	Luigina	 Biólogo	33762114446
226	Biagio	 Químico	12351408583
227	Ezio	 Geólogo	74286806585
228	Saverio	 Tradutor	62627735508
229	Piera	 Motorista	84163633842
230	Ilaria	 Pedreiro	35444166905
231	Graziano	 Pintor	15259445543
232	Pasqualina	 Mecânico	84756864260
233	Bianca	 Vendedor	71866073370
234	Claúdia	 Terapeuta	78594992755
235	Calogero	 Psiquiatra	30954793482
236	Ada	 Consultor	13340928965
237	Augusto	 Veterinário	67038756533
238	Ettore	 Geógrafo	57512575644
239	Simonetta	 Cientista	52093353067
240	Santo	 Cozinheiro	74311173253
241	Michelina	 Padeiro	40129081864
242	Ignazio	 Barbeiro	23361960718
